crime,location,date,sex,victim_ethnicity,victim_age,time,weather,latitude,longitude,holiday_name,is_holiday,land_use_type,gn_division,gn_pcode,gn_population,gn_distance_m,victim_ethnicity ,status_report
drugs,dangolla junction,2020-01-19,m,muslim,26,10:39:00,Rainy,7.268693646,80.60659495,Non-Holiday,0,Commercial,Bowala,LK2130205,2430,736.2,muslim,Valid
robbery,kandy city centre,2020-01-19,m,sinhala,51,12:45:00,Rainy,7.292598313,80.63628261,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,423.0,sinhala,Valid
robbery,lewella bangalaawatte,2020-01-20,m,sinhala,73,10:47:00,Rainy,7.298136629,80.649447,Non-Holiday,0,General Urban,Thalwatta,LK2130130,19105,332.6,sinhala,Valid
robbery,meekanuwa watarauma,2020-01-22,f,sinhala,30,00:15:00,Rainy,7.280429187,80.65369126,Non-Holiday,0,General Urban,Ampitiya Udagama North,LK2130235,931,389.4,sinhala,Valid
theft,wattaranthanne ground,2020-01-24,m,sinhala,42,07:42:00,Cloudy,7.250643827,80.69148091,Non-Holiday,0,Residential,Thalathuoya East,LK2145090,18993,211.2,sinhala,Valid
burglary,asgiriya stadium,2020-01-24,m,sinhala,25,22:43:00,Cloudy,7.299962801,80.63184281,Non-Holiday,0,Commercial,Poorna Watta West,LK2130080,17006,259.7,sinhala,Valid
drugs,gatambe junction,2020-01-26,m,sinhala,21,22:44:00,Cloudy,7.270430911,80.60357089,Non-Holiday,0,Commercial,Bowala,LK2130205,2430,1018.8,sinhala,Valid
theft,dalada maligawa,2020-01-27,m,sinhala,36,08:10:00,Cloudy,7.293399477,80.6406148,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,341.8,sinhala,Valid
drugs,yatinuwara street,2020-01-27,m,sinhala,25,08:28:00,Cloudy,7.296164825,80.63638404,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,34.8,sinhala,Valid
drugs,hanthane kadurata malshalawa,2020-01-29,m,muslim,26,11:06:00,Cloudy,7.287307222,80.63520283,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,249.6,muslim,Valid
drugs,pattiyakale watte,2020-01-31,m,sinhala,17,21:09:00,Cloudy,7.291127298,80.63407313,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,414.0,sinhala,Valid
theft,pattiyakale watte,2020-02-01,m,sinhala,21,19:42:00,Cloudy,7.29178763,80.63273207,Non-Holiday,0,General Urban,Ihala Katukele,LK2130115,6925,283.3,sinhala,Valid
drugs,pattiyakale watte,2020-02-03,m,sinhala,17,20:21:00,Cloudy,7.290927274,80.63366558,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,381.2,sinhala,Valid
vehicle theft,municipal indoor sports complex,2020-02-08,f,sinhala,44,05:30:00,Cloudy,7.285965471,80.6255861,Non-Holiday,0,Commercial,Suduhumpala East,LK2130160,18807,400.6,sinhala,Valid
theft,bus stand,2020-02-08,m,tamil,42,23:39:00,Cloudy,7.288813892,80.63411612,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,188.2,tamil,Valid
stabbing,yatinuwara street,2020-02-15,m,sinhala,18,01:02:00,Rainy,7.294604891,80.6346579,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,260.6,sinhala,Valid
robbery,pathanawatte heerassagala,2020-02-16,m,sinhala,30,04:01:00,Cloudy,7.263325338,80.61899758,Non-Holiday,0,General Urban,Bowalawatta,LK2130300,2441,471.3,sinhala,Valid
robbery,ogastawatte,2020-02-19,f,sinhala,31,03:33:00,Cloudy,7.29158515,80.63521031,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,510.8,sinhala,Valid
robbery,mahaiyawa,2020-02-20,m,muslim,52,03:35:00,Cloudy,7.304785352,80.63172464,Non-Holiday,0,General Urban,Poorna Watta East,LK2130075,17005,230.5,muslim,Valid
robbery,gatambe bridge,2020-02-20,m,sinhala,33,21:56:00,Cloudy,7.274081136,80.60392383,Non-Holiday,0,Commercial,Bowala,LK2130205,2430,1027.7,sinhala,Valid
theft,yatinuwara street,2020-02-21,m,sinhala,51,05:33:00,Rainy,7.294562443,80.63446446,Maha Sivarathri Day,1,General Urban,Mahanuwara,LK2130120,11613,278.3,sinhala,Valid
theft,dodamwela,2020-02-21,m,sinhala,72,18:09:00,Rainy,7.290980109,80.54108371,Maha Sivarathri Day,1,General Urban,Ihala Dodamwala,LK2136120,6861,113.5,sinhala,Valid
stabbing,bus stand,2020-02-23,m,sinhala,43,16:52:00,Rainy,7.299352234,80.63443688,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,380.2,sinhala,Valid
stabbing,dalada maligawa,2020-02-25,m,sinhala,45,15:50:00,Cloudy,7.295599913,80.64014066,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,435.9,sinhala,Valid
robbery,buwelikada,2020-02-29,m,muslim,24,18:23:00,Rainy,7.300669699,80.65150774,Non-Holiday,0,Commercial,Sirimalwatta West,LK2127180,18568,456.9,muslim,Valid
burglary,bus stand,2020-03-01,f,sinhala,52,00:14:00,Cloudy,7.301559895,80.63596593,Non-Holiday,0,Commercial,Mahaiyawa,LK2130065,11543,223.9,sinhala,Valid
robbery,buwelikada,2020-03-02,m,muslim,24,01:47:00,Cloudy,7.300888549,80.65369519,Non-Holiday,0,Commercial,Sirimalwatta East,LK2127185,18565,351.2,muslim,Valid
theft,kotugodalla road,2020-03-05,m,sinhala,40,23:14:00,Rainy,7.295584939,80.63846983,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,268.7,sinhala,Valid
theft,ampitiya town,2020-03-06,m,tamil,17,08:29:00,Rainy,7.272106412,80.66018892,Non-Holiday,0,General Urban,Ampitiya Pallegama,LK2130245,928,419.3,tamil,Valid
theft,bowalawatte,2020-03-07,m,sinhala,30,06:14:00,Rainy,7.258742637,80.62357531,Non-Holiday,0,General Urban,Bowalawatta,LK2130300,2441,623.7,sinhala,Valid
robbery,kotugodalla road,2020-03-09,m,sinhala,26,05:00:00,Rainy,7.296179116,80.63597117,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,33.5,sinhala,Valid
burglary,thalathuoya road,2020-03-12,f,sinhala,57,08:19:00,Cloudy,7.249179027,80.68527719,Non-Holiday,0,General Urban,Batagalla,LK2145100,1785,519.9,sinhala,Valid
theft,peradeniya road,2020-03-17,m,sinhala,35,00:34:00,Rainy,7.28027324,80.62030399,Special Public Holiday,1,General Urban,Suduhumpala West,LK2130165,18808,269.5,sinhala,Valid
stabbing,heerassagala junction,2020-03-17,f,sinhala,53,04:18:00,Rainy,7.276013435,80.62195445,Special Public Holiday,1,Commercial,Suduhumpala West,LK2130165,18808,541.4,sinhala,Valid
theft,ampitiya town,2020-03-22,foreign couple,sinhala,19,13:31:00,Rainy,7.272957736,80.65989457,Non-Holiday,0,General Urban,Ampitiya Pallegama,LK2130245,928,422.6,sinhala,Valid
stabbing,udabowala,2020-03-26,m,tamil,28,07:49:00,Cloudy,7.265868693,80.61589778,Non-Holiday,0,General Urban,Uda Bowala,LK2130200,19819,202.9,tamil,Valid
stabbing,post office,2020-03-28,m,muslim,40,00:40:00,Rainy,7.291384905,80.63356614,Non-Holiday,0,Commercial,Ihala Katukele,LK2130115,6925,384.7,muslim,Valid
stabbing,municipal indoor sports complex,2020-04-06,f,sinhala,38,19:19:00,Rainy,7.285948222,80.62429855,Non-Holiday,0,Commercial,Katukele West,LK2130105,8913,263.6,sinhala,Valid
stabbing,pathanawatte heerassagala,2020-04-07,m,muslim,33,07:06:00,Rainy,7.261437011,80.61877275,Esala Full Moon Poya Day,1,General Urban,Bowalawatta,LK2130300,2441,263.2,muslim,Valid
burglary,people's bank,2020-04-07,m,muslim,40,12:31:00,Rainy,7.291552309,80.6353889,Esala Full Moon Poya Day,1,General Urban,Bogambara,LK2130145,2198,517.6,muslim,Valid
stabbing,kandy hospital,2020-04-07,m,muslim,43,21:07:00,Rainy,7.286864047,80.63232064,Esala Full Moon Poya Day,1,Residential,Bogambara,LK2130145,2198,105.4,muslim,Valid
stabbing,kandy hospital,2020-04-07,m,muslim,43,22:08:00,Rainy,7.286917118,80.63104004,Esala Full Moon Poya Day,1,Residential,Bogambara,LK2130145,2198,223.5,muslim,Valid
robbery,hewaheta,2020-04-08,m,sinhala,43,12:59:00,Rainy,7.112262296,80.76137309,Non-Holiday,0,General Urban,Kotagepitiya,LK2148125,10224,6760.2,sinhala,Valid
burglary,train station,2020-04-08,m,sinhala,46,13:36:00,Rainy,7.291741184,80.63218394,Non-Holiday,0,General Urban,Ihala Katukele,LK2130115,6925,239.8,sinhala,Valid
robbery,galkaduwa junction,2020-04-09,m,sinhala,20,15:55:00,Rainy,7.309413426,80.6394094,Non-Holiday,0,Commercial,Watapuluwa West,LK2130060,21493,231.6,sinhala,Valid
burglary,sri wickramasinghe mawatha,2020-04-10,m,sinhala,44,05:05:00,Rainy,7.28859959,80.6424832,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,599.1,sinhala,Valid
stabbing,goerge.e.silva lane,2020-04-13,m,sinhala,37,21:44:00,Rainy,7.291310466,80.63565124,Sinhala and Tamil New Year,1,General Urban,Bogambara,LK2130145,2198,511.0,sinhala,Valid
burglary,hanthane,2020-04-14,m,muslim,31,06:39:00,Rainy,7.266176374,80.63645694,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,831.4,muslim,Valid
robbery,peradeniya road,2020-04-16,m,sinhala,45,04:49:00,Rainy,7.280016905,80.62060626,Non-Holiday,0,General Urban,Suduhumpala West,LK2130165,18808,246.1,sinhala,Valid
burglary,william gopallawa lane,2020-04-17,m,sinhala,33,22:16:00,Rainy,7.291732048,80.63231502,Non-Holiday,0,General Urban,Ihala Katukele,LK2130115,6925,251.0,sinhala,Valid
burglary,common market complex,2020-04-20,f,sinhala,68,15:59:00,Rainy,7.291603602,80.6361813,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,533.4,sinhala,Valid
vehicle theft,mada bowala angampitiya,2020-04-25,m,sinhala,42,22:02:00,Rainy,7.273240028,80.61147666,Non-Holiday,0,General Urban,Bowala,LK2130205,2430,268.8,sinhala,Valid
drugs,yatinuwara street,2020-04-26,m,sinhala,58,11:29:00,Rainy,7.29629998,80.63391942,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,249.2,sinhala,Valid
burglary,common market complex,2020-04-26,f,sinhala,68,21:23:00,Rainy,7.291914333,80.63434849,Non-Holiday,0,General Urban,Ihala Katukele,LK2130115,6925,436.5,sinhala,Valid
drugs,bogambara,2020-04-27,f,sinhala,41,01:38:00,Rainy,7.286070866,80.63534966,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,312.4,sinhala,Valid
vehicle theft,mada bowala angampitiya,2020-04-27,m,sinhala,42,12:25:00,Rainy,7.27292769,80.61061256,Non-Holiday,0,General Urban,Bowala,LK2130205,2430,306.7,sinhala,Valid
drugs,nuwarawela ampitiya,2020-04-29,m,sinhala,35,09:49:00,Rainy,7.284562565,80.649989,Non-Holiday,0,General Urban,Ampitiya North,LK2130230,926,83.3,sinhala,Valid
robbery,nagasthanne,2020-04-29,m,sinhala,37,19:49:00,Rainy,7.27995872,80.63325845,Non-Holiday,0,General Urban,Nagasthenna,LK2130155,13921,446.3,sinhala,Valid
burglary,welikanda,2020-05-03,m,sinhala,36,23:08:00,Rainy,7.306233869,80.63328134,Non-Holiday,0,General Urban,Poorna Watta East,LK2130075,17005,218.6,sinhala,Valid
theft,aniwatte,2020-05-04,m,sinhala,51,06:40:00,Rainy,7.29284517,80.62399389,Non-Holiday,0,General Urban,Bahirawa Kanda,LK2130090,1508,341.2,sinhala,Valid
stabbing,new queens hotel,2020-05-10,m,sinhala,76,06:27:00,Rainy,7.292765368,80.63820927,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,462.2,sinhala,Valid
robbery,police station,2020-05-10,f,tamil,34,12:46:00,Rainy,7.292388214,80.63326348,Non-Holiday,0,Commercial,Ihala Katukele,LK2130115,6925,306.2,tamil,Valid
vehicle theft,sirimawo bandaranayake lane,2020-05-12,m,sinhala,63,02:05:00,Rainy,7.268956142,80.59544608,Non-Holiday,0,Commercial,Getambe,LK2130180,5235,384.6,sinhala,Valid
robbery,ampitiya town,2020-05-18,m,sinhala,30,22:48:00,Rainy,7.271883533,80.65971915,Non-Holiday,0,General Urban,Ampitiya Pallegama,LK2130245,928,476.7,sinhala,Valid
stabbing,new queens hotel,2020-05-21,m,sinhala,76,22:01:00,Rainy,7.293796346,80.63661514,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,293.6,sinhala,Valid
stabbing,asgiriya stadium,2020-05-23,f,sinhala,72,19:52:00,Rainy,7.297878411,80.63292013,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,395.0,sinhala,Valid
robbery,katugasthota road,2020-05-24,m,sinhala,47,07:35:00,Rainy,7.315409441,80.63155084,Non-Holiday,0,General Urban,Nittawela,LK2130030,14729,304.6,sinhala,Valid
vehicle theft,kandy city centre,2020-05-25,m,sinhala,31,23:40:00,Rainy,7.29063962,80.63848246,Eid al-Fitr,1,Commercial,Boowelikada,LK2130135,2310,675.6,sinhala,Valid
theft,polgolla,2020-05-30,m,sinhala,29,12:13:00,Cloudy,7.315958383,80.65113675,Non-Holiday,0,General Urban,Pallegunnepana North,LK2127175,15562,265.2,sinhala,Valid
stabbing,dharmapala road lewella,2020-05-31,f,sinhala,46,01:50:00,Rainy,7.299467975,80.64890212,Non-Holiday,0,General Urban,Lewella,LK2130125,11008,316.0,sinhala,Valid
stabbing,lewella bangalaawatte,2020-06-04,m,sinhala,30,15:22:00,Cloudy,7.298476135,80.6523788,Non-Holiday,0,General Urban,Thalwatta,LK2130130,19105,408.4,sinhala,Valid
theft,watapuluwa,2020-06-05,m,sinhala,29,04:36:00,Rainy,7.316850735,80.64169782,Non-Holiday,0,General Urban,Mahaweli Uyana,LK2130040,11727,262.8,sinhala,Valid
theft,hanthane town,2020-06-06,m,sinhala,23,14:04:00,Rainy,7.268407584,80.63492494,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,572.4,sinhala,Valid
burglary,suduhumpola,2020-06-06,m,sinhala,50,20:11:00,Rainy,7.282480124,80.62603807,Non-Holiday,0,General Urban,Suduhumpala East,LK2130160,18807,53.9,sinhala,Valid
burglary,lake house hotel,2020-06-07,m,sinhala,24,16:33:00,Rainy,7.266464984,80.59573768,Non-Holiday,0,General Urban,Getambe,LK2130180,5235,654.5,sinhala,Valid
theft,heerassagala,2020-06-08,m,tamil,55,17:34:00,Rainy,7.261911526,80.6177223,Non-Holiday,0,General Urban,Bowalawatta,LK2130300,2441,300.5,tamil,Valid
burglary,thalathuoya road,2020-06-09,m,sinhala,30,15:13:00,Rainy,7.2496133,80.68345025,Non-Holiday,0,General Urban,Hippola,LK2145035,6481,329.5,sinhala,Valid
burglary,2nd rajasinghe lane,2020-06-10,m,sinhala,47,08:49:00,Rainy,7.292218943,80.63496326,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,483.9,sinhala,Valid
burglary,gatambe bridge,2020-06-15,f,sinhala,56,05:09:00,Rainy,7.273163504,80.60572803,Non-Holiday,0,Commercial,Bowala,LK2130205,2430,807.5,sinhala,Valid
burglary,yatinuwara street,2020-06-15,m,sinhala,39,23:31:00,Rainy,7.295373499,80.63536816,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,144.9,sinhala,Valid
vehicle theft,nuwarawela ampitiya,2020-06-18,m,sinhala,36,12:14:00,Rainy,7.288423682,80.6502437,Non-Holiday,0,General Urban,Ampitiya North,LK2130230,926,360.4,sinhala,Valid
burglary,2nd rajasinghe lane,2020-06-20,m,sinhala,28,05:33:00,Rainy,7.290602403,80.63312802,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,337.4,sinhala,Valid
drugs,rajapihilla road,2020-06-20,m,sinhala,42,22:19:00,Rainy,7.288774802,80.64076648,Non-Holiday,0,General Urban,Boowelikada,LK2130135,2310,649.9,sinhala,Valid
robbery,ogastawatte,2020-06-28,m,sinhala,25,22:52:00,Rainy,7.288992667,80.63569583,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,341.0,sinhala,Valid
theft,bogambara official police stayhouse,2020-06-29,m,sinhala,34,09:50:00,Rainy,7.288545164,80.6363886,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,393.8,sinhala,Valid
drugs,train station,2020-06-29,m,sinhala,34,19:45:00,Rainy,7.291764269,80.63561357,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,519.3,sinhala,Valid
burglary,peradeniya road,2020-07-03,m,sinhala,30,06:11:00,Rainy,7.283220179,80.6201731,Non-Holiday,0,General Urban,Katukele West,LK2130105,8913,303.1,sinhala,Valid
burglary,peradeniya road,2020-07-05,m,sinhala,30,02:30:00,Rainy,7.281209918,80.62274206,Vesak Full Moon Poya Day,1,General Urban,Suduhumpala West,LK2130165,18808,42.9,sinhala,Valid
robbery,hewaheta road,2020-07-05,f,sinhala,74,21:34:00,Rainy,7.292867293,80.64757378,Vesak Full Moon Poya Day,1,General Urban,Thalwatta,LK2130130,19105,420.9,sinhala,Valid
stabbing,pattiyakale watte,2020-07-12,m,muslim,51,13:55:00,Rainy,7.291160301,80.63486296,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,451.0,muslim,Valid
theft,mulgampola,2020-07-16,m,sinhala,42,20:20:00,Rainy,7.280395202,80.61510166,Non-Holiday,0,General Urban,Welata,LK2130170,21826,202.4,sinhala,Valid
robbery,katugasthota road,2020-07-16,f,tamil,58,23:27:00,Rainy,7.313015151,80.63411469,Non-Holiday,0,General Urban,Pitakanda Gama,LK2130015,16716,186.7,tamil,Valid
drugs,asgiriya,2020-07-20,m,sinhala,46,12:05:00,Rainy,7.298657293,80.63078148,Non-Holiday,0,General Urban,Asgiriya,LK2130085,1314,228.2,sinhala,Valid
stabbing,walespark,2020-07-21,m,sinhala,61,05:00:00,Rainy,7.288388496,80.63557372,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,302.7,sinhala,Valid
theft,goerge.e. silva lane,2020-07-21,f,sinhala,46,18:22:00,Rainy,7.289223695,80.63518265,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,306.7,sinhala,Valid
drugs,municipal indoor sports complex,2020-07-22,m,muslim,75,03:33:00,Rainy,7.285422938,80.62492561,Non-Holiday,0,Commercial,Katukele West,LK2130105,8913,321.5,muslim,Valid
stabbing,municipal indoor sports complex,2020-07-22,m,sinhala,61,18:58:00,Rainy,7.286330139,80.62721491,Non-Holiday,0,Commercial,Deiyannewela,LK2130150,3143,312.9,sinhala,Valid
burglary,hanthane town,2020-07-24,f,sinhala,54,19:26:00,Rainy,7.269337955,80.63461131,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,472.5,sinhala,Valid
robbery,katugasthota road,2020-07-28,f,tamil,58,13:30:00,Rainy,7.312822876,80.63050192,Non-Holiday,0,General Urban,Pitakanda Gama,LK2130015,16716,234.9,tamil,Valid
theft,dalada maligawa,2020-07-28,f,sinhala,48,16:07:00,Rainy,7.293398471,80.64124568,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,273.2,sinhala,Valid
theft,thannekumbura,2020-07-28,f,sinhala,23,22:25:00,Rainy,7.283957272,80.65997742,Non-Holiday,0,General Urban,Thennakumbura,LK2130240,19383,6.7,sinhala,Valid
stabbing,yatinuwara street,2020-08-02,m,sinhala,49,04:27:00,Rainy,7.295358227,80.63702723,Nawam Full Moon Poya Day,1,General Urban,Mahanuwara,LK2130120,11613,149.1,sinhala,Valid
theft,d.s senanayake lane,2020-08-06,f,sinhala,29,06:07:00,Rainy,7.297570641,80.63903098,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,340.7,sinhala,Valid
drugs,mada bowala angampitiya,2020-08-08,f,sinhala,30,21:59:00,Rainy,7.273560371,80.61328993,Non-Holiday,0,General Urban,Bowala,LK2130205,2430,269.1,sinhala,Valid
drugs,primrose gardens,2020-08-08,m,sinhala,49,22:25:00,Rainy,7.277503816,80.61116425,Non-Holiday,0,Commercial,Welata,LK2130170,21826,375.8,sinhala,Valid
robbery,yatinuwara street,2020-08-09,m,sinhala,35,09:02:00,Rainy,7.297664889,80.63665075,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,150.0,sinhala,Valid
theft,rajapihilla road,2020-08-09,m,muslim,47,17:37:00,Rainy,7.286164475,80.64071779,Non-Holiday,0,General Urban,Ampitiya South,LK2130225,929,738.2,muslim,Valid
drugs,dalada maligawa,2020-08-10,m,sinhala,30,14:26:00,Rainy,7.294742405,80.64137381,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,272.8,sinhala,Valid
theft,train station,2020-08-11,foreign couple,muslim,28,19:05:00,Rainy,7.288620159,80.63472759,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,227.5,muslim,Valid
theft,rajapihilla road,2020-08-12,m,muslim,47,16:36:00,Rainy,7.288874329,80.64052233,Non-Holiday,0,General Urban,Boowelikada,LK2130135,2310,654.3,muslim,Valid
burglary,mahaiyawa cemetery,2020-08-12,f,sinhala,31,20:09:00,Rainy,7.303698351,80.63367372,Non-Holiday,0,General Urban,Mahaiyawa,LK2130065,11543,211.9,sinhala,Valid
drugs,mada bowala angampitiya,2020-08-13,m,sinhala,44,10:38:00,Rainy,7.27310712,80.610982,Non-Holiday,0,General Urban,Bowala,LK2130205,2430,290.4,sinhala,Valid
drugs,peradeniya road,2020-08-13,m,sinhala,59,16:09:00,Rainy,7.280173704,80.62257409,Non-Holiday,0,General Urban,Suduhumpala West,LK2130165,18808,73.8,sinhala,Valid
drugs,primrose gardens,2020-08-13,m,sinhala,49,17:53:00,Rainy,7.278401161,80.60952001,Non-Holiday,0,Commercial,Welata,LK2130170,21826,532.4,sinhala,Valid
burglary,municipal indoor sports complex,2020-08-15,f,sinhala,61,21:53:00,Rainy,7.28547988,80.62601941,Non-Holiday,0,Commercial,Suduhumpala East,LK2130160,18807,350.2,sinhala,Valid
vehicle theft,municipal indoor sports complex,2020-08-16,m,muslim,63,03:05:00,Cloudy,7.285635999,80.62558924,Non-Holiday,0,Commercial,Suduhumpala East,LK2130160,18807,363.9,muslim,Valid
vehicle theft,dangolla,2020-08-17,m,sinhala,21,20:06:00,Rainy,7.270879439,80.61111284,Non-Holiday,0,Residential,Bowala,LK2130205,2430,186.7,sinhala,Valid
stabbing,mahaiyawa,2020-08-18,f,sinhala,33,20:12:00,Cloudy,7.305361781,80.63253042,Non-Holiday,0,General Urban,Poorna Watta East,LK2130075,17005,206.1,sinhala,Valid
stabbing,rajapihilla road,2020-08-21,m,sinhala,29,05:27:00,Rainy,7.28817314,80.64256334,Non-Holiday,0,General Urban,Boowelikada,LK2130135,2310,643.7,sinhala,Valid
drugs,hanthane town,2020-08-23,f,sinhala,53,12:58:00,Rainy,7.267525424,80.63535968,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,669.9,sinhala,Valid
drugs,police station,2020-08-26,f,sinhala,50,13:34:00,Rainy,7.293212425,80.63257184,Non-Holiday,0,Commercial,Ihala Katukele,LK2130115,6925,214.8,sinhala,Valid
burglary,hanthane town,2020-09-01,f,sinhala,60,01:30:00,Rainy,7.269467977,80.63347009,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,492.0,sinhala,Valid
burglary,peradeniya road,2020-09-01,m,sinhala,66,17:57:00,Rainy,7.281447543,80.6198883,Non-Holiday,0,General Urban,Suduhumpala West,LK2130165,18808,315.7,sinhala,Valid
drugs,central market,2020-09-03,f,sinhala,30,11:47:00,Cloudy,7.290788931,80.63362143,Medin Full Moon Poya Day,1,Commercial,Bogambara,LK2130145,2198,365.1,sinhala,Valid
drugs,gatambe bridge,2020-09-05,m,sinhala,15,10:11:00,Rainy,7.272206535,80.602696,Non-Holiday,0,Commercial,Getambe,LK2130180,5235,966.3,sinhala,Valid
burglary,hanthane town,2020-09-05,f,sinhala,60,12:50:00,Rainy,7.266734993,80.63674992,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,776.7,sinhala,Valid
stabbing,yatinuwara street,2020-09-11,m,sinhala,34,14:23:00,Rainy,7.294944291,80.63440755,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,253.6,sinhala,Valid
robbery,post office,2020-09-13,f,sinhala,61,15:04:00,Rainy,7.289845149,80.63353045,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,260.5,sinhala,Valid
robbery,bus stand,2020-09-16,f,muslim,36,20:40:00,Rainy,7.253262649,80.59031822,Non-Holiday,0,Commercial,Penideniya,LK2139135,16411,355.4,muslim,Valid
theft,nuwarawela ampitiya,2020-09-18,m,sinhala,43,20:09:00,Rainy,7.286588353,80.64797134,Non-Holiday,0,General Urban,Ampitiya North,LK2130230,926,310.7,sinhala,Valid
drugs,municipal indoor sports complex,2020-09-21,f,sinhala,64,16:54:00,Rainy,7.283303379,80.62702041,Non-Holiday,0,Commercial,Suduhumpala East,LK2130160,18807,191.7,sinhala,Valid
burglary,bus stand,2020-09-26,m,sinhala,30,10:32:00,Rainy,7.287925068,80.63285197,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,40.8,sinhala,Valid
burglary,d.s senanayake lane,2020-09-27,m,sinhala,46,06:42:00,Rainy,7.298687233,80.63663298,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,259.2,sinhala,Valid
