crime,location,date,sex,victim nationality,victim age,time,weather,Latitude,Longitude,Holiday_Name,Is_Holiday,Land_Use_Type,GN division,GN_pcode,GN_population,GN_distance_m
stabbing,yatinuwara street,15.02.2020,M,Sinhala,18,1:02,Rainy,7.294604891,80.6346579,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,260.6
robbery,pathanawatte heerassagala,16.02.2020,M,Sinhala,30,4:01,Cloudy,7.263325338,80.61899758,Non-Holiday,FALSE,General Urban,Bowalawatta,LK2130300,2441,471.3
robbery,ogastawatte,19.02.2020,F,Sinhala,31,3:33,Cloudy,7.29158515,80.63521031,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,510.8
robbery,mahaiyawa,20.02.2020,M,Muslim,52,3:35,Cloudy,7.304785352,80.63172464,Non-Holiday,FALSE,General Urban,Poorna Watta East,LK2130075,17005,230.5
robbery,gatambe bridge,20.02.2020,M,sinhala,33,21:56,Cloudy,7.274081136,80.60392383,Non-Holiday,FALSE,Commercial,Bowala,LK2130205,2430,1027.7
theft,yatinuwara street,21.02.2020,M,Sinhala,51,5:33,Rainy,7.294562443,80.63446446,Maha Sivarathri Day,TRUE,General Urban,Mahanuwara,LK2130120,11613,278.3
theft,dodamwela,21.02.2020,M,sinhala,72,18:09,Rainy,7.290980109,80.54108371,Maha Sivarathri Day,TRUE,General Urban,Ihala Dodamwala,LK2136120,6861,113.5
stabbing,bus stand,23.02.2020,M,Sinhala,43,16:52,Rainy,7.299352234,80.63443688,Non-Holiday,FALSE,Commercial,Mahanuwara,LK2130120,11613,380.2
stabbing,dalada maligawa,25.02.2020,M,Sinhala,45,15:50,Cloudy,7.295599913,80.64014066,Non-Holiday,FALSE,Commercial,Boowelikada,LK2130135,2310,435.9
robbery,buwelikada junction,29.02.2020,M,Muslim,24,18:23,Rainy,7.300669699,80.65150774,Non-Holiday,FALSE,Commercial,Sirimalwatta West,LK2127180,18568,456.9
burglary,bus stand,01.03.2020,F,Sinhala,52,0:14,Cloudy,7.301559895,80.63596593,Non-Holiday,FALSE,Commercial,Mahaiyawa,LK2130065,11543,223.9
robbery,buwelikada junction,02.03.2020,M,Muslim,24,1:47,Cloudy,7.300888549,80.65369519,Non-Holiday,FALSE,Commercial,Sirimalwatta East,LK2127185,18565,351.2
theft,kotugodalla road,05.03.2020,M,Sinhala,40,23:14,Rainy,7.295584939,80.63846983,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,268.7
theft,ampitiya,06.03.2020,M,tamil ,17,8:29,Rainy,7.272106412,80.66018892,Non-Holiday,FALSE,General Urban,Ampitiya Pallegama,LK2130245,928,419.3
theft,bowalawatte,07.03.2020,M,Sinhala,30,6:14,Rainy,7.258742637,80.62357531,Non-Holiday,FALSE,General Urban,Bowalawatta,LK2130300,2441,623.7
robbery,kotugodalla road,09.03.2020,M,Sinhala,26,5:00,Rainy,7.296179116,80.63597117,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,33.5
burglary,thalaathuoya road,12.03.2020,F,Sinhala,57,8:19,Cloudy,7.249179027,80.68527719,Non-Holiday,FALSE,General Urban,Batagalla,LK2145100,1785,519.9
theft,peradeniya road,17.03.2020,M,sinhala,35,0:34,Rainy,7.28027324,80.62030399,Special Public Holiday,TRUE,General Urban,Suduhumpala West,LK2130165,18808,269.5
stabbing,heerassagala junction,17.03.2020,F,Sinhala,53,4:18,Rainy,7.276013435,80.62195445,Special Public Holiday,TRUE,Commercial,Suduhumpala West,LK2130165,18808,541.4
theft,ampitiya,22.03.2020,foreign couple,Sinhala,19,13:31,Rainy,7.272957736,80.65989457,Non-Holiday,FALSE,General Urban,Ampitiya Pallegama,LK2130245,928,422.6
stabbing,udabowala,26.03.2020,M,tamil ,28,7:49,Cloudy,7.265868693,80.61589778,Non-Holiday,FALSE,General Urban,Uda Bowala,LK2130200,19819,202.9
stabbing,post office,28.03.2020,M,muslim,40,0:40,Rainy,7.291384905,80.63356614,Non-Holiday,FALSE,Commercial,Ihala Katukele,LK2130115,6925,384.7
stabbing,Municipal indoor sports complex,06.04.2020,F,Sinhala,38,19:19,Rainy,7.285948222,80.62429855,Non-Holiday,FALSE,Commercial,Katukele West,LK2130105,8913,263.6
stabbing,pathanawatte heerassagala,07.04.2020,M,muslim,33,7:06,Rainy,7.261437011,80.61877275,Esala Full Moon Poya Day,TRUE,General Urban,Bowalawatta,LK2130300,2441,263.2
burglary,people's bank,07.04.2020,M,muslim,40,12:31,Rainy,7.291552309,80.6353889,Esala Full Moon Poya Day,TRUE,General Urban,Bogambara,LK2130145,2198,517.6
stabbing,kandy hospital,07.04.2020,M,muslim,43,21:07,Rainy,7.286864047,80.63232064,Esala Full Moon Poya Day,TRUE,Residential,Bogambara,LK2130145,2198,105.4
stabbing,kandy hospital,07.04.2020,M,muslim,43,22:08,Rainy,7.286917118,80.63104004,Esala Full Moon Poya Day,TRUE,Residential,Bogambara,LK2130145,2198,223.5
robbery,hewaheta,08.04.2020,M,Sinhala,43,12:59,Rainy,7.112262296,80.76137309,Non-Holiday,FALSE,General Urban,Kotagepitiya,LK2148125,10224,6760.2
burglary,train station,08.04.2020,M,Sinhala,46,13:36,Rainy,7.291741184,80.63218394,Non-Holiday,FALSE,General Urban,Ihala Katukele,LK2130115,6925,239.8
robbery,galkaduwa junction,09.04.2020,M,Sinhala,20,15:55,Rainy,7.309413426,80.6394094,Non-Holiday,FALSE,Commercial,Watapuluwa West,LK2130060,21493,231.6
burglary,sri wickramasinghe mawatha,10.04.2020,M,Sinhala,44,5:05,Rainy,7.28859959,80.6424832,Non-Holiday,FALSE,Commercial,Boowelikada,LK2130135,2310,599.1
stabbing,goerge.E.Silva lane,13.04.2020,M,Sinhala,37,21:44,Rainy,7.291310466,80.63565124,Sinhala and Tamil New Year,TRUE,General Urban,Bogambara,LK2130145,2198,511
burglary,hanthane watte,14.04.2020,M,Muslim,31,6:39,Rainy,7.266176374,80.63645694,Non-Holiday,FALSE,General Urban,Hanthana Pedesa,LK2130220,5949,831.4
robbery,peradeniya road,16.04.2020,M,Sinhala,45,4:49,Rainy,7.280016905,80.62060626,Non-Holiday,FALSE,General Urban,Suduhumpala West,LK2130165,18808,246.1
burglary,william gopallawa lane,17.04.2020,M,Sinhala,33,22:16,Rainy,7.291732048,80.63231502,Non-Holiday,FALSE,General Urban,Ihala Katukele,LK2130115,6925,251
burglary,common market complex,20.04.2020,F,Sinhala,68,15:59,Rainy,7.291603602,80.6361813,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,533.4
vehicle theft,mada bowala angampitiya,25.04.2020,M,Sinhala,42,22:02,Rainy,7.273240028,80.61147666,Non-Holiday,FALSE,General Urban,Bowala,LK2130205,2430,268.8
drugs,yatinuwara street,26.04.2020,M,Sinhala,58,11:29,Rainy,7.29629998,80.63391942,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,249.2
burglary,common market complex,26.04.2020,F,Sinhala,68,21:23,Rainy,7.291914333,80.63434849,Non-Holiday,FALSE,General Urban,Ihala Katukele,LK2130115,6925,436.5
drugs,bogambara,27.04.2020,F,Sinhala,41,1:38,Rainy,7.286070866,80.63534966,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,312.4
vehicle theft,mada bowala angampitiya,27.04.2020,M,Sinhala,42,12:25,Rainy,7.27292769,80.61061256,Non-Holiday,FALSE,General Urban,Bowala,LK2130205,2430,306.7
drugs,nuwarawela ampitiya,29.04.2020,M,Sinhala,35,9:49,Rainy,7.284562565,80.649989,Non-Holiday,FALSE,General Urban,Ampitiya North,LK2130230,926,83.3
robbery,nagasthanne,29.04.2020,M,Sinhala,37,19:49,Rainy,7.27995872,80.63325845,Non-Holiday,FALSE,General Urban,Nagasthenna,LK2130155,13921,446.3
burglary,welikanda,03.05.2020,M,Sinhala,36,23:08,Rainy,7.306233869,80.63328134,Non-Holiday,FALSE,General Urban,Poorna Watta East,LK2130075,17005,218.6
theft,aniwatte,04.05.2020,M,Sinhala,51,6:40,Rainy,7.29284517,80.62399389,Non-Holiday,FALSE,General Urban,Bahirawa Kanda,LK2130090,1508,341.2
stabbing,new queens hotel,10.05.2020,M,Sinhala,76,6:27,Rainy,7.292765368,80.63820927,Non-Holiday,FALSE,Commercial,Mahanuwara,LK2130120,11613,462.2
robbery,Police Station - Kandy,10.05.2020,F,tamil ,34,12:46,Rainy,7.292388214,80.63326348,Non-Holiday,FALSE,Commercial,Ihala Katukele,LK2130115,6925,306.2
vehicle theft,sirimawo bandaranayake lane,12.05.2020,M,Sinhala,63,2:05,Rainy,7.268956142,80.59544608,Non-Holiday,FALSE,Commercial,Getambe,LK2130180,5235,384.6
robbery,ampitiya,18.05.2020,M,Sinhala,30,22:48,Rainy,7.271883533,80.65971915,Non-Holiday,FALSE,General Urban,Ampitiya Pallegama,LK2130245,928,476.7
stabbing,new queens hotel,21.05.2020,M,Sinhala,76,22:01,Rainy,7.293796346,80.63661514,Non-Holiday,FALSE,Commercial,Mahanuwara,LK2130120,11613,293.6
stabbing,asgiriya stadium,23.05.2020,F,Sinhala,72,19:52,Rainy,7.297878411,80.63292013,Non-Holiday,FALSE,Commercial,Mahanuwara,LK2130120,11613,395
robbery,katugasthota road,24.05.2020,M,Sinhala,47,7:35,Rainy,7.315409441,80.63155084,Non-Holiday,FALSE,General Urban,Nittawela,LK2130030,14729,304.6
vehicle theft,KCC,25.05.2020,M,Sinhala,31,23:40,Rainy,7.29063962,80.63848246,Eid al-Fitr,TRUE,Commercial,Boowelikada,LK2130135,2310,675.6
theft,polgolla,30.05.2020,M,Sinhala,29,12:13,Cloudy,7.315958383,80.65113675,Non-Holiday,FALSE,General Urban,Pallegunnepana North,LK2127175,15562,265.2
stabbing,dharmapala road lewella,31.05.2020,F,Sinhala,46,1:50,Rainy,7.299467975,80.64890212,Non-Holiday,FALSE,General Urban,Lewella,LK2130125,11008,316
stabbing,lewella bangalaawatte,04.06.2020,M,Sinhala,30,15:22,Cloudy,7.298476135,80.6523788,Non-Holiday,FALSE,General Urban,Thalwatta,LK2130130,19105,408.4
theft,watapuluwa,05.06.2020,M,sinhala,29,4:36,Rainy,7.316850735,80.64169782,Non-Holiday,FALSE,General Urban,Mahaweli Uyana,LK2130040,11727,262.8
theft,hanthane,06.06.2020,M,Sinhala,23,14:04,Rainy,7.268407584,80.63492494,Non-Holiday,FALSE,General Urban,Hanthana Pedesa,LK2130220,5949,572.4
burglary,suduhumpola,06.06.2020,M,Sinhala,50,20:11,Rainy,7.282480124,80.62603807,Non-Holiday,FALSE,General Urban,Suduhumpala East,LK2130160,18807,53.9
burglary,lake house hotel,07.06.2020,M,Sinhala,24,16:33,Rainy,7.266464984,80.59573768,Non-Holiday,FALSE,General Urban,Getambe,LK2130180,5235,654.5
theft,heerassagala,08.06.2020,M,tamil ,55,17:34,Rainy,7.261911526,80.6177223,Non-Holiday,FALSE,General Urban,Bowalawatta,LK2130300,2441,300.5
burglary,thalaathuoya road,09.06.2020,M,sinhala,30,15:13,Rainy,7.2496133,80.68345025,Non-Holiday,FALSE,General Urban,Hippola,LK2145035,6481,329.5
burglary,2nd rajasinghe lane,10.06.2020,M,Sinhala,47,8:49,Rainy,7.292218943,80.63496326,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,483.9
burglary,gatambe bridge,15.06.2020,F,Sinhala,56,5:09,Rainy,7.273163504,80.60572803,Non-Holiday,FALSE,Commercial,Bowala,LK2130205,2430,807.5
burglary,yatinuwara street,15.06.2020,M,Sinhala,39,23:31,Rainy,7.295373499,80.63536816,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,144.9
vehicle theft,nuwarawela ampitiya,18.06.2020,M,Sinhala,36,12:14,Rainy,7.288423682,80.6502437,Non-Holiday,FALSE,General Urban,Ampitiya North,LK2130230,926,360.4
burglary,2nd rajasinghe lane,20.06.2020,M,Sinhala,28,5:33,Rainy,7.290602403,80.63312802,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,337.4
drugs,rajapihilla lane,20.06.2020,M,Sinhala,42,22:19,Rainy,7.288774802,80.64076648,Non-Holiday,FALSE,General Urban,Boowelikada,LK2130135,2310,649.9
robbery,ogastawatte,28.06.2020,M,Sinhala,25,22:52,Rainy,7.288992667,80.63569583,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,341
theft,bogambara official police stayhouse,29.06.2020,M,sinhala,34,9:50,Rainy,7.288545164,80.6363886,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,393.8
drugs,train station,29.06.2020,M,sinhala,34,19:45,Rainy,7.291764269,80.63561357,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,519.3
burglary,peradeniya road,03.07.2020,M,Sinhala,30,6:11,Rainy,7.283220179,80.6201731,Non-Holiday,FALSE,General Urban,Katukele West,LK2130105,8913,303.1
burglary,peradeniya road,05.07.2020,M,Sinhala,30,2:30,Rainy,7.281209918,80.62274206,Vesak Full Moon Poya Day,TRUE,General Urban,Suduhumpala West,LK2130165,18808,42.9
robbery,hewaheta road,05.07.2020,F,Sinhala,74,21:34,Rainy,7.292867293,80.64757378,Vesak Full Moon Poya Day,TRUE,General Urban,Thalwatta,LK2130130,19105,420.9
stabbing,pattiyakale watte,12.07.2020,M,muslim,51,13:55,Rainy,7.291160301,80.63486296,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,451
theft,mulgampola,16.07.2020,M,sinhala,42,20:20,Rainy,7.280395202,80.61510166,Non-Holiday,FALSE,General Urban,Welata,LK2130170,21826,202.4
robbery,katugasthota road,16.07.2020,F,tamil ,58,23:27,Rainy,7.313015151,80.63411469,Non-Holiday,FALSE,General Urban,Pitakanda Gama,LK2130015,16716,186.7
drugs,asgiriya   ,20.07.2020,M,Sinhala,46,12:05,Rainy,7.298657293,80.63078148,Non-Holiday,FALSE,General Urban,Asgiriya,LK2130085,1314,228.2
stabbing,walespark,21.07.2020,M,Sinhala,61,5:00,Rainy,7.288388496,80.63557372,Non-Holiday,FALSE,Commercial,Bogambara,LK2130145,2198,302.7
theft,goerge.E. silva lane,21.07.2020,F,Sinhala,46,18:22,Rainy,7.289223695,80.63518265,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,306.7
drugs,Municipal indoor sports complex,22.07.2020,M,Muslim,75,3:33,Rainy,7.285422938,80.62492561,Non-Holiday,FALSE,Commercial,Katukele West,LK2130105,8913,321.5
stabbing,Municipal indoor sports complex,22.07.2020,M,sinhala,61,18:58,Rainy,7.286330139,80.62721491,Non-Holiday,FALSE,Commercial,Deiyannewela,LK2130150,3143,312.9
burglary,hanthane,24.07.2020,F,Sinhala,54,19:26,Rainy,7.269337955,80.63461131,Non-Holiday,FALSE,General Urban,Hanthana Pedesa,LK2130220,5949,472.5
robbery,katugasthota road,28.07.2020,F,tamil ,58,13:30,Rainy,7.312822876,80.63050192,Non-Holiday,FALSE,General Urban,Pitakanda Gama,LK2130015,16716,234.9
theft,maligawa,28.07.2020,F,Sinhala,48,16:07,Rainy,7.293398471,80.64124568,Non-Holiday,FALSE,Commercial,Boowelikada,LK2130135,2310,273.2
theft,thannekumbura,28.07.2020,F,Sinhala,23,22:25,Rainy,7.283957272,80.65997742,Non-Holiday,FALSE,General Urban,Thennakumbura,LK2130240,19383,6.7
stabbing,yatinuwara street,02.08.2020,M,Sinhala,49,4:27,Rainy,7.295358227,80.63702723,Nawam Full Moon Poya Day,TRUE,General Urban,Mahanuwara,LK2130120,11613,149.1
theft,D.S senanayake lane,06.08.2020,F,Sinhala,29,6:07,Rainy,7.297570641,80.63903098,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,340.7
drugs,mada bowala angampitiya,08.08.2020,F,Sinhala,30,21:59,Rainy,7.273560371,80.61328993,Non-Holiday,FALSE,General Urban,Bowala,LK2130205,2430,269.1
drugs,Primrose gardens,08.08.2020,M,Sinhala,49,22:25,Rainy,7.277503816,80.61116425,Non-Holiday,FALSE,Commercial,Welata,LK2130170,21826,375.8
robbery,yatinuwara street,09.08.2020,M,sinhala,35,9:02,Rainy,7.297664889,80.63665075,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,150
theft,rajapihilla road,09.08.2020,M,Muslim,47,17:37,Rainy,7.286164475,80.64071779,Non-Holiday,FALSE,General Urban,Ampitiya South,LK2130225,929,738.2
drugs,dalada maligawa,10.08.2020,M,sinhala,30,14:26,Rainy,7.294742405,80.64137381,Non-Holiday,FALSE,Commercial,Boowelikada,LK2130135,2310,272.8
theft,train station,11.08.2020,foreign couple,muslim,28,19:05,Rainy,7.288620159,80.63472759,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,227.5
theft,rajapihilla road,12.08.2020,M,Muslim,47,16:36,Rainy,7.288874329,80.64052233,Non-Holiday,FALSE,General Urban,Boowelikada,LK2130135,2310,654.3
burglary,mahaiyawa cemetary,12.08.2020,F,Sinhala,31,20:09,Rainy,7.303698351,80.63367372,Non-Holiday,FALSE,General Urban,Mahaiyawa,LK2130065,11543,211.9
drugs,mada bowala angampitiya,13.08.2020,M,Sinhala,44,10:38,Rainy,7.27310712,80.610982,Non-Holiday,FALSE,General Urban,Bowala,LK2130205,2430,290.4
drugs,old peradeniya road,13.08.2020,M,Sinhala,59,16:09,Rainy,7.280173704,80.62257409,Non-Holiday,FALSE,General Urban,Suduhumpala West,LK2130165,18808,73.8
drugs,Primrose gardens,13.08.2020,M,Sinhala,49,17:53,Rainy,7.278401161,80.60952001,Non-Holiday,FALSE,Commercial,Welata,LK2130170,21826,532.4
burglary,Municipal indoor sports complex,15.08.2020,F,Sinhala,61,21:53,Rainy,7.28547988,80.62601941,Non-Holiday,FALSE,Commercial,Suduhumpala East,LK2130160,18807,350.2
vehicle theft,Municipal indoor sports complex,16.08.2020,M,muslim,63,3:05,Cloudy,7.285635999,80.62558924,Non-Holiday,FALSE,Commercial,Suduhumpala East,LK2130160,18807,363.9
vehicle theft,dangolla,17.08.2020,M,sinhala,21,20:06,Rainy,7.270879439,80.61111284,Non-Holiday,FALSE,Residential,Bowala,LK2130205,2430,186.7
stabbing,mahaiyawa,18.08.2020,F,sinhala,33,20:12,Cloudy,7.305361781,80.63253042,Non-Holiday,FALSE,General Urban,Poorna Watta East,LK2130075,17005,206.1
stabbing,rajapihilla road,21.08.2020,M,Sinhala,29,5:27,Rainy,7.28817314,80.64256334,Non-Holiday,FALSE,General Urban,Boowelikada,LK2130135,2310,643.7
drugs,hanthane,23.08.2020,F,Sinhala,53,12:58,Rainy,7.267525424,80.63535968,Non-Holiday,FALSE,General Urban,Hanthana Pedesa,LK2130220,5949,669.9
drugs,Police Station - Kandy,26.08.2020,F,Sinhala,50,13:34,Rainy,7.293212425,80.63257184,Non-Holiday,FALSE,Commercial,Ihala Katukele,LK2130115,6925,214.8
burglary,hanthane,01.09.2020,F,Sinhala,60,1:30,Rainy,7.269467977,80.63347009,Non-Holiday,FALSE,General Urban,Hanthana Pedesa,LK2130220,5949,492
burglary,peradeniya road,01.09.2020,M,Sinhala,66,17:57,Rainy,7.281447543,80.6198883,Non-Holiday,FALSE,General Urban,Suduhumpala West,LK2130165,18808,315.7
drugs,central market,03.09.2020,F,Sinhala,30,11:47,Cloudy,7.290788931,80.63362143,Medin Full Moon Poya Day,TRUE,Commercial,Bogambara,LK2130145,2198,365.1
drugs,gatambe bridge,05.09.2020,M,Sinhala,15,10:11,Rainy,7.272206535,80.602696,Non-Holiday,FALSE,Commercial,Getambe,LK2130180,5235,966.3
burglary,hanthane,05.09.2020,F,Sinhala,60,12:50,Rainy,7.266734993,80.63674992,Non-Holiday,FALSE,General Urban,Hanthana Pedesa,LK2130220,5949,776.7
stabbing,yatinuwara street,11.09.2020,M,Sinhala,34,14:23,Rainy,7.294944291,80.63440755,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,253.6
robbery,post office,13.09.2020,F,Sinhala,61,15:04,Rainy,7.289845149,80.63353045,Non-Holiday,FALSE,Commercial,Bogambara,LK2130145,2198,260.5
robbery,panideniya bus stand,16.09.2020,F,muslim,36,20:40,Rainy,7.253262649,80.59031822,Non-Holiday,FALSE,Commercial,Penideniya,LK2139135,16411,355.4
theft,nuwarawela ampitiya,18.09.2020,M,sinhala,43,20:09,Rainy,7.286588353,80.64797134,Non-Holiday,FALSE,General Urban,Ampitiya North,LK2130230,926,310.7
drugs,Municipal indoor sports complex,21.09.2020,F,Sinhala,64,16:54,Rainy,7.283303379,80.62702041,Non-Holiday,FALSE,Commercial,Suduhumpala East,LK2130160,18807,191.7
burglary,bogambara bus stand,26.09.2020,M,Sinhala,30,10:32,Rainy,7.287925068,80.63285197,Non-Holiday,FALSE,Commercial,Bogambara,LK2130145,2198,40.8
burglary,D.S senanayake lane,27.09.2020,M,Sinhala,46,6:42,Rainy,7.298687233,80.63663298,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,259.2
theft,sky gate hotel,28.09.2020,M,Sinhala,29,15:37,Rainy,7.287935385,80.65483673,Non-Holiday,FALSE,Commercial,Ampitiya North,LK2130230,926,576.3
stabbing,hanthane road,28.09.2020,M,Sinhala,20,23:12,Rainy,7.285021293,80.63468254,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,341.7
stabbing,hanthane road,29.09.2020,M,Sinhala,20,4:43,Rainy,7.285625248,80.63228937,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,228.7
vehicle theft,dodamwela,01.10.2020,M,Sinhala,41,4:50,Rainy,7.29279263,80.54045424,Duruthu Full Moon Poya Day,TRUE,General Urban,Ihala Dodamwala,LK2136120,6861,325.1
drugs,kandy,08.10.2020,M,Sinhala,70,8:42,Rainy,7.29232391,80.63500402,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,471.4
robbery,hanthane,09.10.2020,M,Sinhala,52,15:37,Rainy,7.266247674,80.63475888,Non-Holiday,FALSE,General Urban,Hanthana Pedesa,LK2130220,5949,813.2
robbery,2nd rajasinghe lane,11.10.2020,F,Sinhala,73,17:14,Rainy,7.291622006,80.63439537,Non-Holiday,FALSE,General Urban,Ihala Katukele,LK2130115,6925,453.3
robbery,dharmasena lane,12.10.2020,M,Sinhala,63,10:31,Rainy,7.272593646,80.59018747,Non-Holiday,FALSE,General Urban,Kendakaduwa,LK2136410,9219,119.7
burglary,mahaiyawa,13.10.2020,M,tamil ,73,10:04,Rainy,7.304699855,80.6330322,Non-Holiday,FALSE,General Urban,Poorna Watta East,LK2130075,17005,298.1
theft,joy boat,15.10.2020,M,Sinhala,49,6:17,Rainy,7.290235893,80.63857028,Non-Holiday,FALSE,Commercial,Bogambara,LK2130145,2198,686.5
drugs,galkaduwa junction,18.10.2020,M,Sinhala,36,12:40,Rainy,7.310257902,80.6404851,Non-Holiday,FALSE,Commercial,Watapuluwa South,LK2130045,21491,203.6
burglary,mahaiyawa,18.10.2020,M,tamil ,73,13:35,Rainy,7.306330312,80.63210587,Non-Holiday,FALSE,General Urban,Poorna Watta East,LK2130075,17005,96.4
